article_id,published_at,source,category,title,article_text,brand_mentioned
NEWS-04553,2025-01-01 18:00:00,Global Wire,Health,Medicine developments reshape health outlook,"A new medicine report highlights public health and clinical developments in the health sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-03453,2025-01-01 19:00:00,Global Wire,Business,Retail developments reshape business outlook,"A new retail report highlights earnings and strategy developments in the business sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-03207,2025-01-01 19:00:00,Metro Journal,Science,Space developments reshape science outlook involving Nike,"A new space report highlights climate and discovery developments in the science sector involving Nike. Analysts discuss possible effects on audiences, organizations, and future planning.",Nike
NEWS-04773,2025-01-01 19:00:00,Metro Journal,World,Summit developments reshape world outlook,"A new summit report highlights region and humanitarian developments in the world sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-03503,2025-01-01 21:00:00,Insight News,Business,Strategy developments reshape business outlook,"A new strategy report highlights merger and market developments in the business sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-02731,2025-01-01 23:00:00,Metro Journal,Sports,Coach developments reshape sports outlook,"A new coach report highlights championship and athlete developments in the sports sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-03877,2025-01-01 23:00:00,Metro Journal,Politics,Campaign developments reshape politics outlook involving OpenAI,"A new campaign report highlights senate and election developments in the politics sector involving OpenAI. Analysts discuss possible effects on audiences, organizations, and future planning.",OpenAI
NEWS-00741,2025-01-01 23:00:00,Metro Journal,Health,Clinical developments reshape health outlook,"A new clinical report highlights wellness and public health developments in the health sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-04305,2025-01-02 00:00:00,Metro Journal,Science,Energy developments reshape science outlook involving Google,"A new energy report highlights research and discovery developments in the science sector involving Google. Analysts discuss possible effects on audiences, organizations, and future planning.",Google
NEWS-00766,2025-01-02 00:00:00,Global Wire,Health,Clinical developments reshape health outlook involving Microsoft,"A new clinical report highlights medicine and wellness developments in the health sector involving Microsoft. Analysts discuss possible effects on audiences, organizations, and future planning.",Microsoft
NEWS-04838,2025-01-02 01:00:00,Metro Journal,Sports,Season developments reshape sports outlook,"A new season report highlights championship and league developments in the sports sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-03463,2025-01-02 01:00:00,Insight News,Health,Public Health developments reshape health outlook,"A new public health report highlights medicine and vaccine developments in the health sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-04156,2025-01-02 03:00:00,Insight News,Health,Clinical developments reshape health outlook,"A new clinical report highlights medicine and public health developments in the health sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-02299,2025-01-02 04:00:00,Metro Journal,Technology,Startup developments reshape technology outlook,"A new startup report highlights cloud and software developments in the technology sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-00595,2025-01-02 04:00:00,Global Wire,Health,Medicine developments reshape health outlook involving Apple,"A new medicine report highlights vaccine and clinical developments in the health sector involving Apple. Analysts discuss possible effects on audiences, organizations, and future planning.",Apple
NEWS-02940,2025-01-02 06:00:00,Daily Ledger,Sports,Tournament developments reshape sports outlook,"A new tournament report highlights athlete and season developments in the sports sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-00423,2025-01-02 07:00:00,Insight News,Business,Merger developments reshape business outlook involving Tesla,"A new merger report highlights investment and earnings developments in the business sector involving Tesla. Analysts discuss possible effects on audiences, organizations, and future planning.",Tesla
NEWS-00052,2025-01-02 08:00:00,Global Wire,Health,Vaccine developments reshape health outlook,"A new vaccine report highlights medicine and wellness developments in the health sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-00841,2025-01-02 08:00:00,Daily Ledger,Science,Climate developments reshape science outlook,"A new climate report highlights research and space developments in the science sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-01323,2025-01-02 08:00:00,Morning Brief,Business,Strategy developments reshape business outlook involving Apple,"A new strategy report highlights investment and market developments in the business sector involving Apple. Analysts discuss possible effects on audiences, organizations, and future planning.",Apple
NEWS-02958,2025-01-02 08:00:00,Morning Brief,Entertainment,Celebrity developments reshape entertainment outlook,"A new celebrity report highlights festival and film developments in the entertainment sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-04281,2025-01-02 08:00:00,Global Wire,Health,Public Health developments reshape health outlook involving Microsoft,"A new public health report highlights wellness and vaccine developments in the health sector involving Microsoft. Analysts discuss possible effects on audiences, organizations, and future planning.",Microsoft
NEWS-04991,2025-01-02 09:00:00,Morning Brief,Health,Vaccine developments reshape health outlook,"A new vaccine report highlights clinical and medicine developments in the health sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-03321,2025-01-02 10:00:00,Global Wire,Science,Laboratory developments reshape science outlook,"A new laboratory report highlights research and discovery developments in the science sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-02384,2025-01-02 11:00:00,Morning Brief,Health,Hospital developments reshape health outlook involving Apple,"A new hospital report highlights public health and medicine developments in the health sector involving Apple. Analysts discuss possible effects on audiences, organizations, and future planning.",Apple
NEWS-00775,2025-01-02 11:00:00,Metro Journal,Technology,Cybersecurity developments reshape technology outlook,"A new cybersecurity report highlights cloud and startup developments in the technology sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-04775,2025-01-02 13:00:00,Daily Ledger,Health,Clinical developments reshape health outlook,"A new clinical report highlights vaccine and medicine developments in the health sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-03038,2025-01-02 14:00:00,Metro Journal,Technology,Cloud developments reshape technology outlook,"A new cloud report highlights cybersecurity and chip developments in the technology sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-05031,2025-01-02 14:00:00,Insight News,Health,Clinical developments reshape health outlook involving Netflix,"A new clinical report highlights wellness and hospital developments in the health sector involving Netflix. Analysts discuss possible effects on audiences, organizations, and future planning.",Netflix
NEWS-01911,2025-01-02 15:00:00,Insight News,Sports,Coach developments reshape sports outlook,"A new coach report highlights athlete and season developments in the sports sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-02922,2025-01-02 15:00:00,Morning Brief,Health,Hospital developments reshape health outlook involving Nike,"A new hospital report highlights vaccine and clinical developments in the health sector involving Nike. Analysts discuss possible effects on audiences, organizations, and future planning.",Nike
NEWS-02539,2025-01-02 16:00:00,Global Wire,Science,Discovery developments reshape science outlook involving Google,"A new discovery report highlights space and climate developments in the science sector involving Google. Analysts discuss possible effects on audiences, organizations, and future planning.",Google
NEWS-03377,2025-01-02 16:00:00,Insight News,Health,Clinical developments reshape health outlook involving OpenAI,"A new clinical report highlights vaccine and medicine developments in the health sector involving OpenAI. Analysts discuss possible effects on audiences, organizations, and future planning.",OpenAI
NEWS-02394,2025-01-02 17:00:00,Daily Ledger,Sports,Athlete developments reshape sports outlook involving Tesla,"A new athlete report highlights coach and season developments in the sports sector involving Tesla. Analysts discuss possible effects on audiences, organizations, and future planning.",Tesla
NEWS-02719,2025-01-02 17:00:00,Insight News,Science,Energy developments reshape science outlook involving Nike,"A new energy report highlights research and laboratory developments in the science sector involving Nike. Analysts discuss possible effects on audiences, organizations, and future planning.",Nike
NEWS-03218,2025-01-02 19:00:00,Daily Ledger,World,Region developments reshape world outlook involving Microsoft,"A new region report highlights trade and humanitarian developments in the world sector involving Microsoft. Analysts discuss possible effects on audiences, organizations, and future planning.",Microsoft
NEWS-03439,2025-01-02 19:00:00,Metro Journal,Health,Medicine developments reshape health outlook involving Google,"A new medicine report highlights public health and clinical developments in the health sector involving Google. Analysts discuss possible effects on audiences, organizations, and future planning.",Google
NEWS-00535,2025-01-02 19:00:00,Insight News,Politics,Campaign developments reshape politics outlook,"A new campaign report highlights regulation and policy developments in the politics sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-01101,2025-01-02 21:00:00,Insight News,Health,Medicine developments reshape health outlook,"A new medicine report highlights vaccine and clinical developments in the health sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-01952,2025-01-02 23:00:00,Daily Ledger,Science,Space developments reshape science outlook,"A new space report highlights discovery and climate developments in the science sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-04966,2025-01-02 23:00:00,Insight News,Health,Medicine developments reshape health outlook,"A new medicine report highlights wellness and vaccine developments in the health sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-00395,2025-01-02 23:00:00,Daily Ledger,Science,Energy developments reshape science outlook,"A new energy report highlights climate and laboratory developments in the science sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-03532,2025-01-03 02:00:00,Global Wire,Entertainment,Celebrity developments reshape entertainment outlook involving Google,"A new celebrity report highlights film and festival developments in the entertainment sector involving Google. Analysts discuss possible effects on audiences, organizations, and future planning.",Google
NEWS-02571,2025-01-03 04:00:00,Daily Ledger,Sports,Season developments reshape sports outlook involving Google,"A new season report highlights coach and league developments in the sports sector involving Google. Analysts discuss possible effects on audiences, organizations, and future planning.",Google
NEWS-03801,2025-01-03 04:00:00,Metro Journal,Sports,Championship developments reshape sports outlook involving Nike,"A new championship report highlights league and athlete developments in the sports sector involving Nike. Analysts discuss possible effects on audiences, organizations, and future planning.",Nike
NEWS-02052,2025-01-03 05:00:00,Global Wire,Entertainment,Music developments reshape entertainment outlook,"A new music report highlights celebrity and television developments in the entertainment sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-03071,2025-01-03 06:00:00,Daily Ledger,Entertainment,Music developments reshape entertainment outlook involving Netflix,"A new music report highlights television and film developments in the entertainment sector involving Netflix. Analysts discuss possible effects on audiences, organizations, and future planning.",Netflix
NEWS-04418,2025-01-03 06:00:00,Insight News,Business,Retail developments reshape business outlook involving OpenAI,"A new retail report highlights investment and merger developments in the business sector involving OpenAI. Analysts discuss possible effects on audiences, organizations, and future planning.",OpenAI
NEWS-02023,2025-01-03 07:00:00,Metro Journal,Business,Merger developments reshape business outlook,"A new merger report highlights retail and investment developments in the business sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-00812,2025-01-03 08:00:00,Metro Journal,Science,Discovery developments reshape science outlook involving Netflix,"A new discovery report highlights space and climate developments in the science sector involving Netflix. Analysts discuss possible effects on audiences, organizations, and future planning.",Netflix
NEWS-04222,2025-01-03 08:00:00,Metro Journal,Business,Strategy developments reshape business outlook involving OpenAI,"A new strategy report highlights merger and investment developments in the business sector involving OpenAI. Analysts discuss possible effects on audiences, organizations, and future planning.",OpenAI
NEWS-02534,2025-01-03 09:00:00,Metro Journal,Entertainment,Film developments reshape entertainment outlook,"A new film report highlights music and television developments in the entertainment sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-03996,2025-01-03 10:00:00,Morning Brief,Business,Merger developments reshape business outlook,"A new merger report highlights earnings and strategy developments in the business sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-00205,2025-01-03 15:00:00,Morning Brief,Business,Investment developments reshape business outlook,"A new investment report highlights earnings and merger developments in the business sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-00683,2025-01-03 16:00:00,Morning Brief,World,Diplomacy developments reshape world outlook,"A new diplomacy report highlights trade and humanitarian developments in the world sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-02115,2025-01-03 17:00:00,Daily Ledger,Business,Strategy developments reshape business outlook,"A new strategy report highlights market and retail developments in the business sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-01568,2025-01-03 19:00:00,Morning Brief,Sports,Season developments reshape sports outlook involving Amazon,"A new season report highlights tournament and athlete developments in the sports sector involving Amazon. Analysts discuss possible effects on audiences, organizations, and future planning.",Amazon
NEWS-04792,2025-01-03 20:00:00,Morning Brief,Science,Discovery developments reshape science outlook,"A new discovery report highlights space and research developments in the science sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-04816,2025-01-03 21:00:00,Global Wire,Sports,League developments reshape sports outlook,"A new league report highlights tournament and athlete developments in the sports sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-00519,2025-01-03 23:00:00,Morning Brief,Health,Clinical developments reshape health outlook,"A new clinical report highlights public health and vaccine developments in the health sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-04248,2025-01-04 00:00:00,Daily Ledger,Entertainment,Film developments reshape entertainment outlook involving Google,"A new film report highlights music and festival developments in the entertainment sector involving Google. Analysts discuss possible effects on audiences, organizations, and future planning.",Google
NEWS-00797,2025-01-04 01:00:00,Daily Ledger,Health,Wellness developments reshape health outlook,"A new wellness report highlights public health and hospital developments in the health sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-03879,2025-01-04 03:00:00,Global Wire,Politics,Election developments reshape politics outlook involving Tesla,"A new election report highlights regulation and campaign developments in the politics sector involving Tesla. Analysts discuss possible effects on audiences, organizations, and future planning.",Tesla
NEWS-01894,2025-01-04 03:00:00,Insight News,Entertainment,Film developments reshape entertainment outlook involving Google,"A new film report highlights television and celebrity developments in the entertainment sector involving Google. Analysts discuss possible effects on audiences, organizations, and future planning.",Google
NEWS-03459,2025-01-04 04:00:00,Global Wire,Sports,Tournament developments reshape sports outlook,"A new tournament report highlights championship and season developments in the sports sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-01929,2025-01-04 05:00:00,Insight News,Business,Market developments reshape business outlook involving Tesla,"A new market report highlights earnings and merger developments in the business sector involving Tesla. Analysts discuss possible effects on audiences, organizations, and future planning.",Tesla
NEWS-00270,2025-01-04 06:00:00,Metro Journal,Entertainment,Celebrity developments reshape entertainment outlook,"A new celebrity report highlights music and television developments in the entertainment sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-02873,2025-01-04 06:00:00,Daily Ledger,Sports,Championship developments reshape sports outlook,"A new championship report highlights league and tournament developments in the sports sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-00150,2025-01-04 07:00:00,Daily Ledger,Science,Space developments reshape science outlook involving Tesla,"A new space report highlights discovery and climate developments in the science sector involving Tesla. Analysts discuss possible effects on audiences, organizations, and future planning.",Tesla
NEWS-01045,2025-01-04 08:00:00,Insight News,Politics,Government developments reshape politics outlook,"A new government report highlights senate and campaign developments in the politics sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-04337,2025-01-04 10:00:00,Insight News,Technology,Software developments reshape technology outlook involving Tesla,"A new software report highlights artificial intelligence and cloud developments in the technology sector involving Tesla. Analysts discuss possible effects on audiences, organizations, and future planning.",Tesla
NEWS-01949,2025-01-04 10:00:00,Morning Brief,Technology,Chip developments reshape technology outlook,"A new chip report highlights software and cloud developments in the technology sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-01902,2025-01-04 12:00:00,Daily Ledger,Science,Climate developments reshape science outlook involving Apple,"A new climate report highlights research and discovery developments in the science sector involving Apple. Analysts discuss possible effects on audiences, organizations, and future planning.",Apple
NEWS-00826,2025-01-04 12:00:00,Morning Brief,Technology,Software developments reshape technology outlook,"A new software report highlights cybersecurity and startup developments in the technology sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-04501,2025-01-04 13:00:00,Insight News,Business,Strategy developments reshape business outlook,"A new strategy report highlights merger and earnings developments in the business sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-02031,2025-01-04 13:00:00,Insight News,World,Region developments reshape world outlook,"A new region report highlights summit and humanitarian developments in the world sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-02038,2025-01-04 15:00:00,Morning Brief,World,Region developments reshape world outlook,"A new region report highlights diplomacy and summit developments in the world sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-00239,2025-01-04 15:00:00,Metro Journal,Technology,Chip developments reshape technology outlook,"A new chip report highlights startup and software developments in the technology sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-04450,2025-01-04 16:00:00,Metro Journal,Sports,Championship developments reshape sports outlook,"A new championship report highlights tournament and athlete developments in the sports sector. Analysts discuss possible effects on audiences, organizations, and future planning.",None
NEWS-04167,2025-01-04 17:00:00,Morning Brief,Health,Vaccine developments reshape health outlook involving Amazon,"A new vaccine report highlights wellness and clinical developments in the health sector involving Amazon. Analysts discuss possible effects on audiences, organizations, and future planning.",Amazon
NEWS-04403,2025-01-04 18:00:00,Metro Journal,Health,Wellness developments reshape health outlook involving Apple,"A new wellness report highlights hospital and clinical developments in the health sector involving Apple. Analysts discuss possible effects on audiences, organizations, and future planning.",Apple
NEWS-04136,2025-01-04 20:00:00,Global Wire,Sports,League developments reshape sports outlook involving Apple,"A new league report highlights championship and coach developments in the sports sector involving Apple. Analysts discuss possible effects on audiences, organizations, and future planning.",Apple
